Group,Pattern,Performance Efficiency,Compatibility,Usability,Reliability,Security,Maintainability,Portability,Cost Efficiency
Deployment,Monolith,0,0,0,-1,0,-1,0,1
Deployment,Microservices,1,1,0,0,0,1,1,-1
Deployment,Peer-to-Peer,0,0,0,1,-1,-1,0,1
Deployment,Blockchain,-1,-1,-1,1,1,-1,-1,-1
Data Caching,Always On,-1,0,1,1,1,0,0,-1
Data Caching,Offline First,1,0,1,1,-1,0,0,0
Communication,API-Call,0,1,0,0,1,0,0,0
Communication,Message-Based,1,1,0,1,0,1,0,0
Communication,WebSocket,1,0,1,-1,-1,-1,0,0
Data Replication,Central,0,0,0,-1,0,0,0,1
Data Replication,Hot-Hot,1,0,0,1,0,-1,0,-1
Data Replication,Hot-Cold,0,0,0,1,0,0,0,0
Database Management,SQL,0,1,0,0,0,0,0,0
Database Management,NoSQL,1,0,0,1,0,1,0,0
Database Management,Polyglot Persistence,1,1,0,1,0,-1,0,-1
Security,Proactive,1,0,0,0,1,1,0,-1
Security,Reactive,0,-1,1,0,0,-1,-1,1
Data Synchronization,Real-time Synchronization,1,0,1,0,1,-1,0,-1
Data Synchronization,Batch Processing,0,0,1,1,0,1,0,1